"","Domain","Year","Pop","Pop2","Elevation","CTmax","CTmin","TTR","Pop4","Tmax_hab","WT"
"79","Green",2017,"SatMor","SatMor17",317,34.6,5.8,28.8,"SatMor",31.8127571428571,2.78724285714286
"80","Orange",2017,"PlanLib","PlanLib17",794,27.8,11.3,16.5,"PlanLib",25.1207627906977,2.67923720930233
"81","Orange",2017,"PlanLib","PlanLib17",868,29.7,10.4,19.3,"PlanLib",25.1207627906977,4.57923720930232
"82","Orange",2017,"PlanLib","PlanLib17",868,33.8,8.7,25.1,"PlanLib",25.1207627906977,8.67923720930232
"83","Orange",2017,"PlanLib","PlanLib17",921,30.6,15,15.6,"PlanLib",25.1207627906977,5.47923720930233
"84","Orange",2017,"PlanLib","PlanLib17",928,31.6,10.3,21.3,"PlanLib",25.1207627906977,6.47923720930233
"85","Orange",2017,"PlanLib","PlanLib17",927,33.2,11.8,21.4,"PlanLib",25.1207627906977,8.07923720930233
"86","Orange",2017,"PlanLib","PlanLib17",922,30.6,13.7,16.9,"PlanLib",25.1207627906977,5.47923720930233
"87","Orange",2017,"PlanLib","PlanLib17",909,30.2,13.8,16.4,"PlanLib",25.1207627906977,5.07923720930232
"88","Orange",2017,"PlanLib","PlanLib17",916,30.8,13.2,17.6,"PlanLib",25.1207627906977,5.67923720930233
"89","Orange",2017,"PlanLib","PlanLib17",922,31.3,12.9,18.4,"PlanLib",25.1207627906977,6.17923720930233
"90","Orange",2017,"PlanLib","PlanLib17",924,30.3,11.4,18.9,"PlanLib",25.1207627906977,5.17923720930233
"91","Green",2017,"GnalNB_II","GNBII17_II",120,36.5,8.8,27.7,"GnalNB_II",32.1298610354223,4.37013896457766
"92","Green",2017,"GnalNB_II","GNBII17_II",120,35.6,9.2,26.4,"GnalNB_II",32.1298610354223,3.47013896457766
"93","Green",2017,"GnalNB_II","GNBII17_II",120,36.4,7.9,28.5,"GnalNB_II",32.1298610354223,4.27013896457765
"94","Green",2017,"GnalNB_II","GNBII17_II",120,35.4,9.3,26.1,"GnalNB_II",32.1298610354223,3.27013896457765
"95","Green",2017,"GnalNB_II","GNBII17_II",120,36.2,8.5,27.7,"GnalNB_II",32.1298610354223,4.07013896457766
