"","Domain","Year","Pop","Pop2","Elevation","CTmax","CTmin","TTR","Pop4","Tmin_hab","Cool_T"
"153","Yellow",2018,"CINvaLib","CINvaLib18",1282,33.4,9.9,23.5,"CINvaLib",17.6147784090909,7.71477840909091
"154","Yellow",2018,"CINvaLib","CINvaLib18",1268,33,11.2,21.8,"CINvaLib",17.6147784090909,6.41477840909091
"155","Yellow",2018,"CINvaLib","CINvaLib18",1253,33,12,21,"CINvaLib",17.6147784090909,5.61477840909091
"156","Yellow",2018,"CINvaLib","CINvaLib18",1201,34.6,10.4,24.2,"CINvaLib",17.6147784090909,7.21477840909091
"157","Yellow",2018,"CINvaLib","CINvaLib18",1182,35.2,9.4,25.8,"CINvaLib",17.6147784090909,8.21477840909091
"158","Yellow",2018,"CINvaLib","CINvaLib18",1155,33,9.1,23.9,"CINvaLib",17.6147784090909,8.51477840909091
"159","Yellow",2018,"CINvaLib","CINvaLib18",1130,33.6,8.5,25.1,"CINvaLib",17.6147784090909,9.11477840909091
"160","Yellow",2018,"CINvaLib","CINvaLib18",1125,32.1,9.4,22.7,"CINvaLib",17.6147784090909,8.21477840909091
"161","Yellow",2018,"CINvaLib","CINvaLib18",1086,33.8,12,21.8,"CINvaLib",17.6147784090909,5.61477840909091
"162","Green",2018,"NvaLib","NvaLib18",727,34.2,9.8,24.4,"NvaLib",20.5258549618321,10.7258549618321
"163","Green",2018,"NvaLib","NvaLib18",842,34.9,9.3,25.6,"NvaLib",20.5258549618321,11.2258549618321
"164","Green",2018,"NvaLib","NvaLib18",828,32.6,10.3,22.3,"NvaLib",20.5258549618321,10.2258549618321
"165","Green",2018,"NvaLib","NvaLib18",828,32.7,9.7,23,"NvaLib",20.5258549618321,10.8258549618321
"166","Green",2018,"NvaLib","NvaLib18",826,32.2,9.6,22.6,"NvaLib",20.5258549618321,10.9258549618321
"167","Green",2018,"NvaLib","NvaLib18",825,34.1,9.6,24.5,"NvaLib",20.5258549618321,10.9258549618321
"168","Green",2018,"NvaLib","NvaLib18",846,29.4,9.3,20.1,"NvaLib",20.5258549618321,11.2258549618321
"169","Green",2018,"NvaLib","NvaLib18",824,32.7,9.5,23.2,"NvaLib",20.5258549618321,11.0258549618321
"170","Green",2018,"NvaLib","NvaLib18",835,32.6,10.5,22.1,"NvaLib",20.5258549618321,10.0258549618321
"171","Green",2018,"NvaLib","NvaLib18",828,33.9,9.9,24,"NvaLib",20.5258549618321,10.6258549618321
"175","Red",2018,"RLFlor","RLFlor18",1397,34.7,10.1,24.6,"RLFlor",16.5797080665813,6.4797080665813
"176","Red",2018,"RLFlor","RLFlor18",1459,34.2,8.6,25.6,"RLFlor",16.5797080665813,7.9797080665813
"177","Red",2018,"RLFlor","RLFlor18",1494,34.8,8.5,26.3,"RLFlor",16.5797080665813,8.0797080665813
