"","Domain","Elevation","Year","Pop","CTmax","CTmin","TTR","Weight","SVL","WT","Cool_T","Tmax_hab","Tmin_hab"
"100","Orange",733,2018,"Palestina",35.2,7.7,27.5,1.32,23.76,3.48613429752066,10.9845661157025,31.7138657024793,18.6845661157025
"101","Orange",722,2018,"Palestina",35.6,7.3,28.3,0.93,21.65,3.88613429752066,11.3845661157025,31.7138657024793,18.6845661157025
"102","Orange",728,2018,"Palestina",35.1,6.6,28.5,1.56,25.47,3.38613429752066,12.0845661157025,31.7138657024793,18.6845661157025
"103","Orange",752,2018,"Palestina",35.5,7.8,27.7,1.32,24.12,3.78613429752066,10.8845661157025,31.7138657024793,18.6845661157025
"104","Orange",750,2018,"Palestina",NA,7.2,NA,1.32,23.89,NA,11.4845661157025,31.7138657024793,18.6845661157025
"105","Red",1514,2018,"LagLon",32.9,9.5,23.4,1.3,23.83,1.78055056179775,6.47098033707865,31.1194494382022,15.9709803370787
"106","Red",1468,2018,"LagLon",35.4,9.3,26.1,1.39,23.92,4.28055056179775,6.67098033707865,31.1194494382022,15.9709803370787
"107","Red",1456,2018,"LagLon",34.2,9.9,24.3,1.46,24.75,3.08055056179776,6.07098033707865,31.1194494382022,15.9709803370787
"108","Red",1433,2018,"LagLon",34.1,10.1,24,1.56,25.12,2.98055056179776,5.87098033707865,31.1194494382022,15.9709803370787
"109","Red",1524,2018,"LagLon",32.3,8.5,23.8,1.69,25.75,1.18055056179775,7.47098033707865,31.1194494382022,15.9709803370787
"110","Red",1492,2018,"LagLon",34.7,9.8,24.9,1.59,26.04,3.58055056179776,6.17098033707865,31.1194494382022,15.9709803370787
"111","Red",1457,2018,"LagLon",33.5,10.8,22.7,1.51,25.64,2.38055056179775,5.17098033707865,31.1194494382022,15.9709803370787
"112","Red",1454,2018,"LagLon",33.6,8.4,25.2,1.22,24.04,2.48055056179776,7.57098033707865,31.1194494382022,15.9709803370787
"113","Red",1479,2018,"LagLon",32.6,10.8,21.8,1.56,25.12,1.48055056179776,5.17098033707865,31.1194494382022,15.9709803370787
"114","Red",1490,2018,"LagLon",33.8,8.1,25.7,1.86,26.1,2.68055056179775,7.87098033707865,31.1194494382022,15.9709803370787
"115","Red",1523,2018,"LagLon",32.9,8.9,24,1.72,25.98,1.78055056179775,7.07098033707865,31.1194494382022,15.9709803370787
"116","Red",1518,2018,"LagLon",32,8.6,23.4,1.57,26.95,0.880550561797754,7.37098033707865,31.1194494382022,15.9709803370787
"117","Red",1403,2018,"Palmas",33.5,7.8,25.7,1.31,24.64,2.38055056179775,8.17098033707865,31.1194494382022,15.9709803370787
"118","Red",1367,2018,"Palmas",33.5,10.1,23.4,1.51,24.99,2.38055056179775,5.87098033707865,31.1194494382022,15.9709803370787
"119","Red",1363,2018,"Palmas",32.4,10.4,22,1.48,23.18,1.28055056179775,5.57098033707865,31.1194494382022,15.9709803370787
"120","Red",1402,2018,"Palmas",32.8,8.4,24.4,1.26,24.5,1.68055056179775,7.57098033707865,31.1194494382022,15.9709803370787
"121","Red",1390,2018,"Palmas",33.5,9.2,24.3,1.45,25.25,2.38055056179775,6.77098033707865,31.1194494382022,15.9709803370787
