"","Domain","Elevation","Year","Pop","Pop2","Indv","n","Temperature"
"326","Green",314,2017,"SatMor","SatMor17","SatMor_4","Temp4",22.6
"327","Green",317,2017,"SatMor","SatMor17","SatMor_5","Temp4",21.8
"328","Green",312,2017,"SatMor","SatMor17","SatMor_6","Temp4",21.9
"329","Green",312,2017,"SatMor","SatMor17","SatMor_7","Temp4",22.2
"330","Green",305,2017,"SatMor","SatMor17","SatMor_8","Temp4",21.2
"331","Green",307,2017,"SatMor","SatMor17","SatMor_9","Temp4",20.2
"332","Green",307,2017,"SatMor","SatMor17","SatMor_10","Temp4",24
"333","Green",717,2017,"NvaLib","NvaLib17","NvaLib_1","Temp4",21.3
"334","Green",721,2017,"NvaLib","NvaLib17","NvaLib_2","Temp4",18.5
"335","Green",721,2017,"NvaLib","NvaLib17","NvaLib_3","Temp4",18.4
"336","Green",721,2017,"NvaLib","NvaLib17","NvaLib_4","Temp4",20.6
"337","Green",718,2017,"NvaLib","NvaLib17","NvaLib_5","Temp4",22.3
"338","Green",713,2017,"NvaLib","NvaLib17","NvaLib_6","Temp4",21
"339","Green",688,2017,"NvaLib","NvaLib17","NvaLib_7","Temp4",22.9
"340","Green",723,2017,"NvaLib","NvaLib17","NvaLib_8","Temp4",20.3
"341","Green",727,2017,"NvaLib","NvaLib17","NvaLib_9","Temp4",NA
"342","Green",747,2017,"NvaLib","NvaLib17","NvaLib_10","Temp4",21.9
"343","Green",729,2017,"NvaLib","NvaLib17","NvaLib_11","Temp4",26.6
"344","Orange",794,2017,"PlanLib","PlanLib17","PlanLib_1","Temp4",21.5
"345","Orange",868,2017,"PlanLib","PlanLib17","PlanLib_2","Temp4",22.9
"346","Orange",868,2017,"PlanLib","PlanLib17","PlanLib_3","Temp4",20.3
"347","Orange",921,2017,"PlanLib","PlanLib17","PlanLib_4","Temp4",23
"348","Orange",928,2017,"PlanLib","PlanLib17","PlanLib_5","Temp4",19
"349","Orange",930,2017,"PlanLib","PlanLib17","PlanLib_6","Temp4",19.8
"350","Orange",927,2017,"PlanLib","PlanLib17","PlanLib_7","Temp4",19.5
"351","Orange",922,2017,"PlanLib","PlanLib17","PlanLib_8","Temp4",23.6
"352","Orange",909,2017,"PlanLib","PlanLib17","PlanLib_9","Temp4",23.3
"353","Orange",916,2017,"PlanLib","PlanLib17","PlanLib_10","Temp4",20.5
"354","Orange",922,2017,"PlanLib","PlanLib17","PlanLib_11","Temp4",20
"355","Orange",924,2017,"PlanLib","PlanLib17","PlanLib_12","Temp4",21.6
"356","Orange",1083,2017,"ArrNeg","ArrNeg17","ArrNeg_1","Temp4",NA
"357","Orange",1093,2017,"ArrNeg","ArrNeg17","ArrNeg_2","Temp4",NA
"358","Orange",1083,2017,"ArrNeg","ArrNeg17","ArrNeg_3","Temp4",NA
"359","Orange",1093,2017,"ArrNeg","ArrNeg17","ArrNeg_4","Temp4",NA
"360","Orange",1009,2017,"ArrNeg","ArrNeg17","ArrNeg_5","Temp4",NA
"361","Orange",1075,2017,"ArrNeg","ArrNeg17","ArrNeg_6","Temp4",NA
"362","Orange",1076,2017,"ArrNeg","ArrNeg17","ArrNeg_7","Temp4",NA
"363","Yellow",1262,2017,"CINvaLib","CINvaLib17","CINvLib1","Temp4",19.6
"364","Yellow",1256,2017,"CINvaLib","CINvaLib17","CINvLib2","Temp4",23.5
"365","Yellow",1048,2017,"CINvaLib","CINvaLib17","CINvLib3","Temp4",22.2
"366","Yellow",1030,2017,"CINvaLib","CINvaLib17","CINvLib4","Temp4",23.5
"367","Yellow",1227,2017,"CINvaLib","CINvaLib17","CINvLib5","Temp4",23.3
"368","Yellow",1151,2017,"CINvaLib","CINvaLib17","CINvLib6","Temp4",23.3
"369","Yellow",1150,2017,"CINvaLib","CINvaLib17","CINvLib7","Temp4",23.6
"370","Yellow",1150,2017,"CINvaLib","CINvaLib17","CINvLib8","Temp4",25
"371","Yellow",1168,2017,"CINvaLib","CINvaLib17","CINvLib9","Temp4",24.1
"372","Yellow",1207,2017,"CINvaLib","CINvaLib17","CINvLib10","Temp4",24.4
"373","Yellow",1194,2017,"CINvaLib","CINvaLib17","CINvLib11","Temp4",24.8
"374","Yellow",1150,2017,"CINvaLib","CINvaLib17","CINvLib12","Temp4",23.5
"375","Yellow",1169,2017,"NBI","NBI17","NBravo_1","Temp4",18.4
"376","Yellow",1170,2017,"NBI","NBI17","NBravo_2","Temp4",21.6
"377","Yellow",1186,2017,"NBI","NBI17","NBravo_3","Temp4",NA
"378","Yellow",1162,2017,"NBI","NBI17","NBravo_4","Temp4",19.2
"379","Yellow",1162,2017,"NBI","NBI17","NBravo_5","Temp4",19.1
"380","Yellow",1142,2017,"NBI","NBI17","NBravo_6","Temp4",18
"381","Yellow",1181,2017,"NBI","NBI17","NBravo_7","Temp4",19.8
"382","Yellow",1184,2017,"NBI","NBI17","NBravo_8","Temp4",19.5
"383","Yellow",1136,2017,"NBI","NBI17","NBravo_9","Temp4",19.6
"384","Yellow",1116,2017,"NBI","NBI17","NBravo_10","Temp4",19.3
"385","Yellow",1304,2017,"LaLoma","LaLoma17","LaLom_1","Temp4",20.9
"386","Yellow",1304,2017,"LaLoma","LaLoma17","LaLom_2","Temp4",22.7
"387","Yellow",1304,2017,"LaLoma","LaLoma17","LaLom_3","Temp4",24.5
"388","Yellow",1300,2017,"LaLoma","LaLoma17","LaLom_4","Temp4",23
"389","Yellow",1300,2017,"LaLoma","LaLoma17","LaLom_5","Temp4",23
"390","Yellow",1296,2017,"LaLoma","LaLoma17","LaLom_6","Temp4",22.7
"391","Yellow",1300,2017,"LaLoma","LaLoma17","LaLom_7","Temp4",23.3
"392","Yellow",1309,2017,"LaLoma","LaLoma17","LaLom_8","Temp4",20.1
"393","Yellow",1305,2017,"LaLoma","LaLoma17","LaLom_9","Temp4",23.1
"394","Yellow",1310,2017,"LaLoma","LaLoma17","LaLom_10","Temp4",22.8
"395","Red",1509,2017,"RLFlor","RLFlor17","RLaFlor_1","Temp4",23.6
"396","Red",1508,2017,"RLFlor","RLFlor17","RLaFlor_2","Temp4",25.6
"397","Red",1509,2017,"RLFlor","RLFlor17","RLaFlor_3","Temp4",NA
"398","Red",1508,2017,"RLFlor","RLFlor17","RLaFlor_4","Temp4",22.6
"399","Red",1508,2017,"RLFlor","RLFlor17","RLaFlor_5","Temp4",22.5
"400","Red",1512,2017,"RLFlor","RLFlor17","RLaFlor_6","Temp4",19.2
"401","Red",1516,2017,"RLFlor","RLFlor17","RLaFlor_7","Temp4",22.9
"402","Red",1519,2017,"RLFlor","RLFlor17","RLaFlor_8","Temp4",18.6
"403","Red",1520,2017,"RLFlor","RLFlor17","RLaFlor_9","Temp4",22.6
"404","Red",1520,2017,"RLFlor","RLFlor17","RLaFlor_10","Temp4",21.7
"405","Blue",2116,2017,"AmpLag","AmpLag17","Amp_Lag1","Temp4",24.2
"406","Blue",2115,2017,"AmpLag","AmpLag17","Amp_Lag2","Temp4",24.9
"407","Blue",2083,2017,"AmpLag","AmpLag17","Amp_Lag3","Temp4",24
"408","Blue",2083,2017,"AmpLag","AmpLag17","Amp_Lag4","Temp4",23.3
"409","Blue",2082,2017,"AmpLag","AmpLag17","Amp_Lag5","Temp4",25.2
"410","Blue",2125,2017,"AmpLag","AmpLag17","Amp_Lag6","Temp4",24
"411","Blue",2126,2017,"AmpLag","AmpLag17","Amp_Lag7","Temp4",24.8
"412","Blue",2122,2017,"AmpLag","AmpLag17","Amp_Lag8","Temp4",19.2
"413","Blue",2125,2017,"AmpLag","AmpLag17","Amp_Lag9","Temp4",24
"414","Blue",2103,2017,"AmpLag","AmpLag17","Amp_Lag10","Temp4",24.6
"415","Blue",2131,2017,"AmpLag","AmpLag17","Amp_Lag11","Temp4",24.2
"416","Blue",2130,2017,"AmpLag","AmpLag17","Amp_Lag12","Temp4",27.3
"417","Green",251,2017,"GNBII","GNBII17","GnalNBII_1","Temp5",22.1
"418","Green",264,2017,"GNBII","GNBII17","GnalNBII_2","Temp5",20.7
"419","Green",242,2017,"GNBII","GNBII17","GnalNBII_3","Temp5",21.3
"420","Green",250,2017,"GNBII","GNBII17","GnalNBII_4","Temp5",20.4
"421","Green",242,2017,"GNBII","GNBII17","GnalNBII_5","Temp5",20.3
"422","Green",263,2017,"GNBII","GNBII17","GnalNBII_6","Temp5",21.5
"423","Green",247,2017,"GNBII","GNBII17","GnalNBII_7","Temp5",22.1
"424","Green",230,2017,"GNBII","GNBII17","GnalNBII_8","Temp5",20.7
"425","Green",247,2017,"GNBII","GNBII17","GnalNBII_9","Temp5",21.3
"426","Green",247,2017,"GNBII","GNBII17","GnalNBII_10","Temp5",20.1
"427","Green",293,2017,"SatMor","SatMor17","SatMor_1","Temp5",20.1
"428","Green",310,2017,"SatMor","SatMor17","SatMor_2","Temp5",19.2
"429","Green",316,2017,"SatMor","SatMor17","SatMor_3","Temp5",21.6
"430","Green",314,2017,"SatMor","SatMor17","SatMor_4","Temp5",21.6
"431","Green",317,2017,"SatMor","SatMor17","SatMor_5","Temp5",NA
"432","Green",312,2017,"SatMor","SatMor17","SatMor_6","Temp5",23
"433","Green",312,2017,"SatMor","SatMor17","SatMor_7","Temp5",NA
"434","Green",305,2017,"SatMor","SatMor17","SatMor_8","Temp5",22.1
"435","Green",307,2017,"SatMor","SatMor17","SatMor_9","Temp5",18.3
"436","Green",307,2017,"SatMor","SatMor17","SatMor_10","Temp5",17.5
"437","Green",717,2017,"NvaLib","NvaLib17","NvaLib_1","Temp5",21.9
"438","Green",721,2017,"NvaLib","NvaLib17","NvaLib_2","Temp5",21.8
"439","Green",721,2017,"NvaLib","NvaLib17","NvaLib_3","Temp5",21.6
"440","Green",721,2017,"NvaLib","NvaLib17","NvaLib_4","Temp5",20.8
"441","Green",718,2017,"NvaLib","NvaLib17","NvaLib_5","Temp5",17.3
"442","Green",713,2017,"NvaLib","NvaLib17","NvaLib_6","Temp5",NA
"443","Green",688,2017,"NvaLib","NvaLib17","NvaLib_7","Temp5",24.9
"444","Green",723,2017,"NvaLib","NvaLib17","NvaLib_8","Temp5",19.1
"445","Green",727,2017,"NvaLib","NvaLib17","NvaLib_9","Temp5",21.8
"446","Green",747,2017,"NvaLib","NvaLib17","NvaLib_10","Temp5",21.9
"447","Green",729,2017,"NvaLib","NvaLib17","NvaLib_11","Temp5",24.4
"448","Orange",794,2017,"PlanLib","PlanLib17","PlanLib_1","Temp5",18.9
"449","Orange",868,2017,"PlanLib","PlanLib17","PlanLib_2","Temp5",18.4
"450","Orange",868,2017,"PlanLib","PlanLib17","PlanLib_3","Temp5",21
"451","Orange",921,2017,"PlanLib","PlanLib17","PlanLib_4","Temp5",21.5
"452","Orange",928,2017,"PlanLib","PlanLib17","PlanLib_5","Temp5",17.7
"453","Orange",930,2017,"PlanLib","PlanLib17","PlanLib_6","Temp5",18
"454","Orange",927,2017,"PlanLib","PlanLib17","PlanLib_7","Temp5",19.8
"455","Orange",922,2017,"PlanLib","PlanLib17","PlanLib_8","Temp5",18.7
"456","Orange",909,2017,"PlanLib","PlanLib17","PlanLib_9","Temp5",17.6
"457","Orange",916,2017,"PlanLib","PlanLib17","PlanLib_10","Temp5",22.5
"458","Orange",922,2017,"PlanLib","PlanLib17","PlanLib_11","Temp5",17.8
"459","Orange",924,2017,"PlanLib","PlanLib17","PlanLib_12","Temp5",21.8
"460","Orange",1083,2017,"ArrNeg","ArrNeg17","ArrNeg_1","Temp5",NA
"461","Orange",1093,2017,"ArrNeg","ArrNeg17","ArrNeg_2","Temp5",NA
"462","Orange",1083,2017,"ArrNeg","ArrNeg17","ArrNeg_3","Temp5",NA
"463","Orange",1093,2017,"ArrNeg","ArrNeg17","ArrNeg_4","Temp5",NA
"464","Orange",1009,2017,"ArrNeg","ArrNeg17","ArrNeg_5","Temp5",NA
"465","Orange",1075,2017,"ArrNeg","ArrNeg17","ArrNeg_6","Temp5",NA
"466","Orange",1076,2017,"ArrNeg","ArrNeg17","ArrNeg_7","Temp5",NA
"467","Yellow",1262,2017,"CINvaLib","CINvaLib17","CINvLib1","Temp5",22.7
"468","Yellow",1256,2017,"CINvaLib","CINvaLib17","CINvLib2","Temp5",22.6
"469","Yellow",1048,2017,"CINvaLib","CINvaLib17","CINvLib3","Temp5",22.9
"470","Yellow",1030,2017,"CINvaLib","CINvaLib17","CINvLib4","Temp5",24.5
"471","Yellow",1227,2017,"CINvaLib","CINvaLib17","CINvLib5","Temp5",22.8
"472","Yellow",1151,2017,"CINvaLib","CINvaLib17","CINvLib6","Temp5",23.7
"473","Yellow",1150,2017,"CINvaLib","CINvaLib17","CINvLib7","Temp5",23.4
"474","Yellow",1150,2017,"CINvaLib","CINvaLib17","CINvLib8","Temp5",23.8
"475","Yellow",1168,2017,"CINvaLib","CINvaLib17","CINvLib9","Temp5",22.3
"476","Yellow",1207,2017,"CINvaLib","CINvaLib17","CINvLib10","Temp5",23.7
"477","Yellow",1194,2017,"CINvaLib","CINvaLib17","CINvLib11","Temp5",24
"478","Yellow",1150,2017,"CINvaLib","CINvaLib17","CINvLib12","Temp5",20
"479","Yellow",1169,2017,"NBI","NBI17","NBravo_1","Temp5",17.2
"480","Yellow",1170,2017,"NBI","NBI17","NBravo_2","Temp5",18.5
"481","Yellow",1186,2017,"NBI","NBI17","NBravo_3","Temp5",19.5
"482","Yellow",1162,2017,"NBI","NBI17","NBravo_4","Temp5",18.6
"483","Yellow",1162,2017,"NBI","NBI17","NBravo_5","Temp5",19
"484","Yellow",1142,2017,"NBI","NBI17","NBravo_6","Temp5",19.9
"485","Yellow",1181,2017,"NBI","NBI17","NBravo_7","Temp5",18.5
"486","Yellow",1184,2017,"NBI","NBI17","NBravo_8","Temp5",17.5
"487","Yellow",1136,2017,"NBI","NBI17","NBravo_9","Temp5",19.9
"488","Yellow",1116,2017,"NBI","NBI17","NBravo_10","Temp5",19.2
"489","Yellow",1304,2017,"LaLoma","LaLoma17","LaLom_1","Temp5",22.1
"490","Yellow",1304,2017,"LaLoma","LaLoma17","LaLom_2","Temp5",22.8
"491","Yellow",1304,2017,"LaLoma","LaLoma17","LaLom_3","Temp5",22.3
"492","Yellow",1300,2017,"LaLoma","LaLoma17","LaLom_4","Temp5",22.4
"493","Yellow",1300,2017,"LaLoma","LaLoma17","LaLom_5","Temp5",23.5
"494","Yellow",1296,2017,"LaLoma","LaLoma17","LaLom_6","Temp5",23
"495","Yellow",1300,2017,"LaLoma","LaLoma17","LaLom_7","Temp5",23.2
"496","Yellow",1309,2017,"LaLoma","LaLoma17","LaLom_8","Temp5",21.6
"497","Yellow",1305,2017,"LaLoma","LaLoma17","LaLom_9","Temp5",23.3
"498","Yellow",1310,2017,"LaLoma","LaLoma17","LaLom_10","Temp5",22.2
"499","Red",1509,2017,"RLFlor","RLFlor17","RLaFlor_1","Temp5",22.2
"500","Red",1508,2017,"RLFlor","RLFlor17","RLaFlor_2","Temp5",21.3
"501","Red",1509,2017,"RLFlor","RLFlor17","RLaFlor_3","Temp5",NA
"502","Red",1508,2017,"RLFlor","RLFlor17","RLaFlor_4","Temp5",22.6
"503","Red",1508,2017,"RLFlor","RLFlor17","RLaFlor_5","Temp5",19.7
"504","Red",1512,2017,"RLFlor","RLFlor17","RLaFlor_6","Temp5",25.4
"505","Red",1516,2017,"RLFlor","RLFlor17","RLaFlor_7","Temp5",18.3
"506","Red",1519,2017,"RLFlor","RLFlor17","RLaFlor_8","Temp5",19.3
"507","Red",1520,2017,"RLFlor","RLFlor17","RLaFlor_9","Temp5",22.6
"508","Red",1520,2017,"RLFlor","RLFlor17","RLaFlor_10","Temp5",23.2
"509","Blue",2116,2017,"AmpLag","AmpLag17","Amp_Lag1","Temp5",24.4
"510","Blue",2115,2017,"AmpLag","AmpLag17","Amp_Lag2","Temp5",24
"511","Blue",2083,2017,"AmpLag","AmpLag17","Amp_Lag3","Temp5",25.6
"512","Blue",2083,2017,"AmpLag","AmpLag17","Amp_Lag4","Temp5",23.2
"513","Blue",2082,2017,"AmpLag","AmpLag17","Amp_Lag5","Temp5",24.4
"514","Blue",2125,2017,"AmpLag","AmpLag17","Amp_Lag6","Temp5",24.4
"515","Blue",2126,2017,"AmpLag","AmpLag17","Amp_Lag7","Temp5",25.3
"516","Blue",2122,2017,"AmpLag","AmpLag17","Amp_Lag8","Temp5",22.5
"517","Blue",2125,2017,"AmpLag","AmpLag17","Amp_Lag9","Temp5",NA
"518","Blue",2103,2017,"AmpLag","AmpLag17","Amp_Lag10","Temp5",25
"519","Blue",2131,2017,"AmpLag","AmpLag17","Amp_Lag11","Temp5",25.2
"520","Blue",2130,2017,"AmpLag","AmpLag17","Amp_Lag12","Temp5",24.3
"521","Green",727,2018,"NvaLib","NvaLib18","NvaLib_1","Temp1",24.5
"522","Green",842,2018,"NvaLib","NvaLib18","NvaLib_2","Temp1",24.3
"523","Green",828,2018,"NvaLib","NvaLib18","NvaLib_3","Temp1",24.6
"524","Green",828,2018,"NvaLib","NvaLib18","NvaLib_4","Temp1",24
"525","Green",826,2018,"NvaLib","NvaLib18","NvaLib_5","Temp1",24.9
"526","Green",825,2018,"NvaLib","NvaLib18","NvaLib_6","Temp1",24.3
"527","Green",846,2018,"NvaLib","NvaLib18","NvaLib_7","Temp1",25.1
"528","Green",824,2018,"NvaLib","NvaLib18","NvaLib_8","Temp1",24.5
"529","Green",835,2018,"NvaLib","NvaLib18","NvaLib_9","Temp1",24
"530","Green",828,2018,"NvaLib","NvaLib18","NvaLib_10","Temp1",24.4
"531","Orange",700,2018,"Palestina","Pales18","Pal_1","Temp1",23.6
"532","Orange",722,2018,"Palestina","Pales18","Pal_2","Temp1",22.3
"533","Orange",736,2018,"Palestina","Pales18","Pal_3","Temp1",24.2
"534","Orange",733,2018,"Palestina","Pales18","Pal_4","Temp1",21.8
"535","Orange",746,2018,"Palestina","Pales18","Pal_5","Temp1",22.4
"536","Orange",728,2018,"Palestina","Pales18","Pal_6","Temp1",23.2
"537","Orange",750,2018,"Palestina","Pales18","Pal_7","Temp1",21.6
"538","Orange",751,2018,"Palestina","Pales18","Pal_8","Temp1",23.3
"539","Orange",752,2018,"Palestina","Pales18","Pal_9","Temp1",22.6
"540","Orange",746,2018,"Palestina","Pales18","Pal_10","Temp1",23.8
"541","Orange",884,2018,"SalUrb","SalUrb18","SalUrb_1","Temp1",21
"542","Orange",883,2018,"SalUrb","SalUrb18","SalUrb_2","Temp1",19.3
"543","Orange",874,2018,"SalUrb","SalUrb18","SalUrb_3","Temp1",18.3
"544","Orange",786,2018,"SalUrb","SalUrb18","SalUrb_4","Temp1",23
"545","Orange",804,2018,"SalUrb","SalUrb18","SalUrb_5","Temp1",20.3
"546","Orange",810,2018,"SalUrb","SalUrb18","SalUrb_6","Temp1",19.3
"547","Orange",815,2018,"SalUrb","SalUrb18","SalUrb_7","Temp1",21.2
"548","Orange",812,2018,"SalUrb","SalUrb18","SalUrb_8","Temp1",22.3
"549","Orange",790,2018,"SalUrb","SalUrb18","SalUrb_9","Temp1",23
"550","Orange",891,2018,"SalUrb","SalUrb18","SalUrb_10","Temp1",21.3
"551","Yellow",1151,2018,"NBI","NBI18","NBravo_1","Temp1",21.8
"552","Yellow",1122,2018,"NBI","NBI18","NBravo_2","Temp1",23
"553","Yellow",1147,2018,"NBI","NBI18","NBravo_3","Temp1",21
"554","Yellow",1193,2018,"NBI","NBI18","NBravo_4","Temp1",21.6
"555","Yellow",1135,2018,"NBI","NBI18","NBravo_5","Temp1",19.2
"556","Yellow",1127,2018,"NBI","NBI18","NBravo_6","Temp1",21
"557","Yellow",1087,2018,"NBI","NBI18","NBravo_7","Temp1",23.7
"558","Yellow",1091,2018,"NBI","NBI18","NBravo_8","Temp1",21.4
"559","Yellow",1199,2018,"NBI","NBI18","NBravo_9","Temp1",20.06
"560","Yellow",1130,2018,"NBI","NBI18","NBravo_10","Temp1",20.1
"561","Yellow",1144,2018,"NBI","NBI18","NBravo_11","Temp1",22.6
"562","Yellow",1137,2018,"NBI","NBI18","NBravo_12","Temp1",22.2
"563","Yellow",1295,2018,"CINvaLib","CINvaLib18","CINvLib1","Temp1",23.7
"564","Yellow",1291,2018,"CINvaLib","CINvaLib18","CINvLib2","Temp1",23.8
"565","Yellow",1282,2018,"CINvaLib","CINvaLib18","CINvLib3","Temp1",24.6
"566","Yellow",1268,2018,"CINvaLib","CINvaLib18","CINvLib4","Temp1",22.3
"567","Yellow",1253,2018,"CINvaLib","CINvaLib18","CINvLib5","Temp1",22.1
"568","Yellow",1201,2018,"CINvaLib","CINvaLib18","CINvLib6","Temp1",21.4
"569","Yellow",1182,2018,"CINvaLib","CINvaLib18","CINvLib7","Temp1",25.1
"570","Yellow",1155,2018,"CINvaLib","CINvaLib18","CINvLib8","Temp1",22.8
"571","Yellow",1130,2018,"CINvaLib","CINvaLib18","CINvLib9","Temp1",26.4
"572","Yellow",1125,2018,"CINvaLib","CINvaLib18","CINvLib10","Temp1",25.5
"573","Yellow",1086,2018,"CINvaLib","CINvaLib18","CINvLib11","Temp1",23.6
"574","Yellow",1300,2018,"LaLoma","LaLoma18","LaLom_1","Temp1",20
"575","Yellow",1299,2018,"LaLoma","LaLoma18","LaLom_2","Temp1",19.9
"576","Yellow",1295,2018,"LaLoma","LaLoma18","LaLom_3","Temp1",25.4
"577","Yellow",1310,2018,"LaLoma","LaLoma18","LaLom_4","Temp1",25.2
"578","Yellow",1299,2018,"LaLoma","LaLoma18","LaLom_5","Temp1",20.2
"579","Yellow",1298,2018,"LaLoma","LaLoma18","LaLom_6","Temp1",17.9
"580","Red",1347,2018,"Palmas","Palm18","Palmas_1","Temp1",22.1
"581","Red",1352,2018,"Palmas","Palm18","Palmas_2","Temp1",19.8
"582","Red",1367,2018,"Palmas","Palm18","Palmas_3","Temp1",20.6
"583","Red",1358,2018,"Palmas","Palm18","Palmas_4","Temp1",21.6
"584","Red",1363,2018,"Palmas","Palm18","Palmas_5","Temp1",22.4
"585","Red",1393,2018,"Palmas","Palm18","Palmas_6","Temp1",22.9
"586","Red",1392,2018,"Palmas","Palm18","Palmas_7","Temp1",22.2
"587","Red",1390,2018,"Palmas","Palm18","Palmas_8","Temp1",21.9
"588","Red",1389,2018,"Palmas","Palm18","Palmas_9","Temp1",22.9
"589","Red",1403,2018,"Palmas","Palm18","Palmas_10","Temp1",22.7
"590","Red",1393,2018,"Palmas","Palm18","Palmas_11","Temp1",21.3
"591","Red",1433,2018,"LagLon","LagLon18","LagLon_1","Temp1",21.3
"592","Red",1440,2018,"LagLon","LagLon18","LagLon_2","Temp1",23
"593","Red",1410,2018,"LagLon","LagLon18","LagLon_3","Temp1",21.3
"594","Red",1456,2018,"LagLon","LagLon18","LagLon_4","Temp1",22.2
"595","Red",1454,2018,"LagLon","LagLon18","LagLon_5","Temp1",22.5
"596","Red",1479,2018,"LagLon","LagLon18","LagLon_6","Temp1",21.2
"597","Red",1490,2018,"LagLon","LagLon18","LagLon_7","Temp1",21.5
"598","Red",1492,2018,"LagLon","LagLon18","LagLon_8","Temp1",22.1
"599","Red",1523,2018,"LagLon","LagLon18","LagLon_9","Temp1",22.3
"600","Red",1524,2018,"LagLon","LagLon18","LagLon_10","Temp1",22
"601","Red",1518,2018,"LagLon","LagLon18","LagLon_11","Temp1",22.5
"602","Red",1469,2018,"LagLon","LagLon18","LagLon_12","Temp1",20
"603","Blue",2109,2018,"AmpLag","AmpLag18","Amp_Lag1","Temp1",20.3
"604","Blue",2101,2018,"AmpLag","AmpLag18","Amp_Lag2","Temp1",20.5
"605","Blue",2089,2018,"AmpLag","AmpLag18","Amp_Lag3","Temp1",21.7
"606","Blue",2184,2018,"AmpLag","AmpLag18","Amp_Lag4","Temp1",22.2
"607","Blue",2109,2018,"AmpLag","AmpLag18","Amp_Lag5","Temp1",21.3
"608","Blue",2210,2018,"AmpLag","AmpLag18","Amp_Lag6","Temp1",20.6
"609","Blue",2212,2018,"AmpLag","AmpLag18","Amp_Lag7","Temp1",21.5
"610","Blue",2210,2018,"AmpLag","AmpLag18","Amp_Lag8","Temp1",20.1
"611","Blue",2217,2018,"AmpLag","AmpLag18","Amp_Lag9","Temp1",21.9
"612","Blue",2211,2018,"AmpLag","AmpLag18","Amp_Lag10","Temp1",20
"613","Blue",2208,2018,"AmpLag","AmpLag18","Amp_Lag11","Temp1",21.1
"614","Blue",2116,2017,"AmpLag","AmpLag17","Amp_Lag1","Temp1",22.9
"615","Blue",2115,2017,"AmpLag","AmpLag17","Amp_Lag2","Temp1",22.5
"616","Blue",2083,2017,"AmpLag","AmpLag17","Amp_Lag3","Temp1",24.9
"617","Blue",2083,2017,"AmpLag","AmpLag17","Amp_Lag4","Temp1",27.5
"618","Blue",2082,2017,"AmpLag","AmpLag17","Amp_Lag5","Temp1",23.8
"619","Blue",2125,2017,"AmpLag","AmpLag17","Amp_Lag6","Temp1",25.7
"620","Blue",2126,2017,"AmpLag","AmpLag17","Amp_Lag7","Temp1",23.7
"621","Blue",2122,2017,"AmpLag","AmpLag17","Amp_Lag8","Temp1",25.8
"622","Blue",2125,2017,"AmpLag","AmpLag17","Amp_Lag9","Temp1",27.2
"623","Blue",2103,2017,"AmpLag","AmpLag17","Amp_Lag10","Temp1",25.5
"624","Green",727,2018,"NvaLib","NvaLib18","NvaLib_1","Temp2",24.5
"625","Green",842,2018,"NvaLib","NvaLib18","NvaLib_2","Temp2",23.2
"626","Green",828,2018,"NvaLib","NvaLib18","NvaLib_3","Temp2",25.2
"627","Green",828,2018,"NvaLib","NvaLib18","NvaLib_4","Temp2",24.6
"628","Green",826,2018,"NvaLib","NvaLib18","NvaLib_5","Temp2",25.4
"629","Green",825,2018,"NvaLib","NvaLib18","NvaLib_6","Temp2",20.6
"630","Green",846,2018,"NvaLib","NvaLib18","NvaLib_7","Temp2",22.9
"631","Green",824,2018,"NvaLib","NvaLib18","NvaLib_8","Temp2",24
"632","Green",835,2018,"NvaLib","NvaLib18","NvaLib_9","Temp2",22.9
"633","Green",828,2018,"NvaLib","NvaLib18","NvaLib_10","Temp2",24.8
"634","Orange",700,2018,"Palestina","Pales18","Pal_1","Temp2",21.6
"635","Orange",722,2018,"Palestina","Pales18","Pal_2","Temp2",23.3
"636","Orange",736,2018,"Palestina","Pales18","Pal_3","Temp2",25.7
"637","Orange",733,2018,"Palestina","Pales18","Pal_4","Temp2",22.5
"638","Orange",746,2018,"Palestina","Pales18","Pal_5","Temp2",21.4
"639","Orange",728,2018,"Palestina","Pales18","Pal_6","Temp2",23.8
"640","Orange",750,2018,"Palestina","Pales18","Pal_7","Temp2",25
"641","Orange",751,2018,"Palestina","Pales18","Pal_8","Temp2",21.8
"642","Orange",752,2018,"Palestina","Pales18","Pal_9","Temp2",22.4
"643","Orange",746,2018,"Palestina","Pales18","Pal_10","Temp2",24.1
"644","Orange",884,2018,"SalUrb","SalUrb18","SalUrb_1","Temp2",21.2
"645","Orange",883,2018,"SalUrb","SalUrb18","SalUrb_2","Temp2",18.6
"646","Orange",874,2018,"SalUrb","SalUrb18","SalUrb_3","Temp2",21.9
"647","Orange",786,2018,"SalUrb","SalUrb18","SalUrb_4","Temp2",20.7
"648","Orange",804,2018,"SalUrb","SalUrb18","SalUrb_5","Temp2",19.8
"649","Orange",810,2018,"SalUrb","SalUrb18","SalUrb_6","Temp2",20.3
"650","Orange",815,2018,"SalUrb","SalUrb18","SalUrb_7","Temp2",21
"651","Orange",812,2018,"SalUrb","SalUrb18","SalUrb_8","Temp2",21.5
"652","Orange",790,2018,"SalUrb","SalUrb18","SalUrb_9","Temp2",20
"653","Orange",891,2018,"SalUrb","SalUrb18","SalUrb_10","Temp2",20
"654","Yellow",1151,2018,"NBI","NBI18","NBravo_1","Temp2",16.3
