"","Domain","Elevation","Year","Pop","Pop2","Indv","n","Temperature"
"33","Orange",868,2017,"PlanLib","PlanLib17","PlanLib_2","Temp1",19.2
"34","Orange",868,2017,"PlanLib","PlanLib17","PlanLib_3","Temp1",16.9
"35","Orange",921,2017,"PlanLib","PlanLib17","PlanLib_4","Temp1",19.1
"36","Orange",928,2017,"PlanLib","PlanLib17","PlanLib_5","Temp1",24.3
"37","Orange",930,2017,"PlanLib","PlanLib17","PlanLib_6","Temp1",19.7
"38","Orange",927,2017,"PlanLib","PlanLib17","PlanLib_7","Temp1",19
"39","Orange",922,2017,"PlanLib","PlanLib17","PlanLib_8","Temp1",22.5
"40","Orange",909,2017,"PlanLib","PlanLib17","PlanLib_9","Temp1",19
"41","Orange",916,2017,"PlanLib","PlanLib17","PlanLib_10","Temp1",22
"42","Orange",922,2017,"PlanLib","PlanLib17","PlanLib_11","Temp1",18.3
"43","Orange",924,2017,"PlanLib","PlanLib17","PlanLib_12","Temp1",20.2
"44","Orange",1083,2017,"ArrNeg","ArrNeg17","ArrNeg_1","Temp1",24
"45","Orange",1093,2017,"ArrNeg","ArrNeg17","ArrNeg_2","Temp1",21
"46","Orange",1083,2017,"ArrNeg","ArrNeg17","ArrNeg_3","Temp1",22.2
"47","Orange",1093,2017,"ArrNeg","ArrNeg17","ArrNeg_4","Temp1",21.5
"48","Orange",1009,2017,"ArrNeg","ArrNeg17","ArrNeg_5","Temp1",22.3
"49","Orange",1075,2017,"ArrNeg","ArrNeg17","ArrNeg_6","Temp1",23.7
"50","Orange",1076,2017,"ArrNeg","ArrNeg17","ArrNeg_7","Temp1",22.7
"51","Yellow",1262,2017,"CINvaLib","CINvaLib17","CINvLib1","Temp1",24.9
"52","Yellow",1256,2017,"CINvaLib","CINvaLib17","CINvLib2","Temp1",24.8
"53","Yellow",1048,2017,"CINvaLib","CINvaLib17","CINvLib3","Temp1",25
"54","Yellow",1030,2017,"CINvaLib","CINvaLib17","CINvLib4","Temp1",24.1
"55","Yellow",1227,2017,"CINvaLib","CINvaLib17","CINvLib5","Temp1",24.2
"56","Yellow",1151,2017,"CINvaLib","CINvaLib17","CINvLib6","Temp1",24.2
"57","Yellow",1150,2017,"CINvaLib","CINvaLib17","CINvLib7","Temp1",24.2
"58","Yellow",1150,2017,"CINvaLib","CINvaLib17","CINvLib8","Temp1",25.4
"59","Yellow",1168,2017,"CINvaLib","CINvaLib17","CINvLib9","Temp1",23.6
"60","Yellow",1207,2017,"CINvaLib","CINvaLib17","CINvLib10","Temp1",24.3
"61","Yellow",1194,2017,"CINvaLib","CINvaLib17","CINvLib11","Temp1",24.8
"62","Yellow",1150,2017,"CINvaLib","CINvaLib17","CINvLib12","Temp1",25.5
"63","Yellow",1169,2017,"NBI","NBI17","NBravo_1","Temp1",17
"64","Yellow",1170,2017,"NBI","NBI17","NBravo_2","Temp1",17.2
"65","Yellow",1186,2017,"NBI","NBI17","NBravo_3","Temp1",18.9
"66","Yellow",1162,2017,"NBI","NBI17","NBravo_4","Temp1",19.6
"67","Yellow",1162,2017,"NBI","NBI17","NBravo_5","Temp1",16.8
"68","Yellow",1142,2017,"NBI","NBI17","NBravo_6","Temp1",NA
"69","Yellow",1181,2017,"NBI","NBI17","NBravo_7","Temp1",19.6
"70","Yellow",1184,2017,"NBI","NBI17","NBravo_8","Temp1",21.6
"71","Yellow",1136,2017,"NBI","NBI17","NBravo_9","Temp1",17.9
"72","Yellow",1116,2017,"NBI","NBI17","NBravo_10","Temp1",19.3
"73","Yellow",1304,2017,"LaLoma","LaLoma17","LaLom_1","Temp1",22.1
"74","Yellow",1304,2017,"LaLoma","LaLoma17","LaLom_2","Temp1",22.5
"75","Yellow",1304,2017,"LaLoma","LaLoma17","LaLom_3","Temp1",23
