Domain,Pop,Elevation,Year,BodyTemp,SubsTemp,AirTemp,Weight,horario
Yellow,NBI,1170,2017,19.9,18.3,20.1,NA,night
Yellow,NBI,1169,2017,19.1,18.2,19.4,NA,night
Yellow,NBI,1169,2017,19.2,20.3,18.5,NA,night
Yellow,NBI,1166,2017,19.3,18.8,18.3,NA,night
Yellow,NBI,1068,2017,23.7,25,23.9,NA,night
Green,SatMor,293,2017,23.8,24.6,23.2,1.29,night
Green,SatMor,286,2017,23.4,23,23,0.3,night
Green,SatMor,291,2017,23.4,23.4,23.4,0.75,night
Green,SatMor,291,2017,24.4,23.6,23.6,NA,night
Green,SatMor,292,2017,23.8,23.8,23.8,NA,night
Green,SatMor,297,2017,24.5,24.8,24.7,NA,night
Green,SatMor,300,2017,23.7,23.4,23.2,0.68,night
Green,SatMor,311,2017,24,23,23.5,0.28,night
Green,SatMor,305,2017,23.8,23.8,23.8,1.3,night
Green,SatMor,306,2017,23.8,23.6,23.2,0.51,night
Green,SatMor,306,2017,23.9,23.4,23.1,0.51,night
Green,SatMor,306,2017,23.8,23.8,23.2,0.67,night
Green,SatMor,307,2017,23.7,23.8,23.5,1.28,night
Green,SatMor,307,2017,23.3,23.2,23,1.22,night
Green,SatMor,302,2017,NA,NA,NA,NA,night
Red,RLFlor,1460,2017,19.9,20,19.7,1.99,night
Red,RLFlor,1466,2017,19.8,19.7,19.6,0.94,night
Red,RLFlor,1469,2017,19.7,19.5,19.2,1.09,night
Red,RLFlor,1472,2017,19.2,19.5,19.2,NA,night
Red,RLFlor,1501,2017,NA,18,18.5,NA,night
Red,RLFlor,1509,2017,18.6,18.7,18.2,0.82,night
Red,RLFlor,1508,2017,18.3,18.5,18.3,0.46,night
Red,RLFlor,1509,2017,18.4,18.3,18.9,0.41,night
Red,RLFlor,1508,2017,19.9,17.9,17.8,1.3,night
Red,RLFlor,1504,2017,17.8,18.1,17.9,0.34,night
Red,RLFlor,1512,2017,17,17.2,17.2,0.61,night
Red,RLFlor,1512,2017,16.9,16.3,16.7,0.44,night
Red,RLFlor,1515,2017,16.9,17.2,17,0.48,night
Red,RLFlor,1516,2017,17.8,17.4,17.9,1.78,night
Red,RLFlor,1517,2017,17.6,17.7,17,0.31,night
Red,RLFlor,1519,2017,17.2,17.4,17,0.57,night
Red,RLFlor,1520,2017,17.1,17.2,17.1,0.34,night
Red,RLFlor,1520,2017,16.5,17,16.9,NA,night
Red,RLFlor,1520,2017,16.7,17,16.6,0.75,night
Red,RLFlor,1514,2017,16.9,17.1,16.6,0.45,night
Red,RLFlor,1537,2017,15.6,15.7,15.5,0.18,night
Red,RLFlor,1537,2017,NA,15.7,15.5,0.4,night
Red,RLFlor,1538,2017,15.4,15.3,15.2,0.16,night
Red,RLFlor,1538,2017,NA,NA,NA,0.42,night
Red,RLFlor,1529,2017,15.7,15.5,15.2,1.5,night
Green,NvaLib,705,2017,22.3,22.3,21.8,0.73,night
Green,NvaLib,722,2017,22.3,22.3,21.9,1.31,night
Green,NvaLib,733,2017,21.8,21.8,21.7,0.93,night
Green,NvaLib,733,2017,21.8,21.8,21.7,2.53,night
Green,NvaLib,744,2017,21.5,21.5,21.3,2.43,night
Green,NvaLib,764,2017,21.6,21.9,21.6,2.28,night
Green,NvaLib,769,2017,22.2,22.2,22.2,1.96,night
Green,NvaLib,795,2017,21.5,21.7,21.7,0.55,night
Green,NvaLib,795,2017,21.8,21.8,21.7,0.68,night
Green,NvaLib,773,2017,21.8,21.8,21.5,1.29,night
Green,NvaLib,772,2017,21.3,21.5,21,0.64,night
Green,GnalNB-II,125,2017,27.1,27.7,27.5,2.41,night
Green,GnalNB-II,125,2017,27,28.5,26.9,1.17,night
Green,GnalNB-II,122,2017,26.6,29,27.2,0.55,night
Green,GnalNB-II,124,2017,26,26,26,1.87,night
Green,GnalNB-II,124,2017,26.2,26.9,26.5,1.82,night
Green,GnalNB-II,125,2017,26.2,26.3,25.7,2.41,night
Green,GnalNB-II,125,2017,26.2,26.6,25.9,1.44,night
Green,GnalNB-II,125,2017,26.3,27.6,27.3,2.08,night
Green,GnalNB-II,125,2017,26.4,27,25.9,2.06,night
Green,GnalNB-II,123,2017,25.3,26.2,25.7,2.44,night
Green,GnalNB,251,2017,24.9,24.9,25,1.83,night
Green,GnalNB,264,2017,23.2,23.5,22.5,1.39,night
Green,GnalNB,226,2017,25,26.3,25.7,0.34,night
Green,GnalNB,218,2017,24.9,25.2,24.6,0.65,night
Green,GnalNB,218,2017,24.9,25.5,25.6,1.59,night
Green,GnalNB,245,2017,23.6,24.8,23.5,0.62,night
Green,GnalNB,243,2017,23.3,24.2,23.6,1.48,night
Green,GnalNB,238,2017,23.1,24.5,23.5,2.13,night
Green,GnalNB,247,2017,23.9,26.3,25.7,0.74,night
Green,GnalNB,242,2017,23.5,24.1,23.9,0.63,night
Green,GnalNB,250,2017,23.5,24.3,23.9,1.95,night
Green,GnalNB,242,2017,22.3,22.9,22.2,2.18,night
Green,GnalNB,263,2017,23.9,24.3,23.6,4.08,night
Green,GnalNB,247,2017,22.9,23.5,22.9,0.51,night
Green,GnalNB,230,2017,23.2,23.6,23.4,1,night
Green,GnalNB,247,2017,23.4,23.6,23.8,1.36,night
Green,GnalNB,247,2017,23.7,23.1,24,2,night
Red,LagLon,1433,2018,16.9,18.7,16.9,1.66,night
Red,LagLon,1448,2018,17.2,17.7,17.2,NA,night
Red,LagLon,1447,2018,17.8,18.5,17.5,NA,night
Red,LagLon,1440,2018,NA,18.6,18.6,1.73,night
Red,LagLon,1410,2018,18.1,19.1,19.9,1.55,night
Red,LagLon,1456,2018,20.2,NA,NA,2.1,night
Red,LagLon,1457,2018,20.4,NA,NA,NA,night
Red,LagLon,1454,2018,18.5,18.5,18.5,1.64,night
Red,LagLon,1468,2018,18.2,19,18.6,NA,night
Red,LagLon,1479,2018,19.9,19.9,19.3,2.14,night
Red,LagLon,1490,2018,NA,20,18.5,1.5,night
Red,LagLon,1492,2018,NA,19.5,18.7,1.8,night
Red,LagLon,1514,2018,18,18,18.1,7.1,night
Red,LagLon,1523,2018,NA,18.8,18.5,1.86,night
Red,LagLon,1524,2018,NA,18.7,18.5,1.72,night
Red,LagLon,1518,2018,18.2,17.8,17.8,1.43,night
Red,LagLon,1469,2018,NA,19.8,18.4,1.47,night
Red,Palmas,1347,2018,19.3,20.2,18.2,1.25,night
Red,Palmas,1352,2018,17.9,17.9,17.9,1.78,night
Red,Palmas,1367,2018,NA,19.9,18.4,1.41,night
Red,Palmas,1358,2018,18.5,18.4,18.6,1.4,night
Red,Palmas,1363,2018,NA,20,23,1.61,night
Red,Palmas,1393,2018,NA,18.5,18.6,1.64,night
Red,Palmas,1392,2018,NA,18.9,18.5,1.48,night
Red,Palmas,1390,2018,NA,19.3,18.6,1.65,night
Red,Palmas,1389,2018,NA,18.9,18.7,1.74,night
Red,Palmas,1402,2018,NA,19.3,19.2,NA,night
Red,Palmas,1403,2018,18.8,19,19.5,1.22,night
Red,Palmas,1393,2018,18.9,18.7,18.5,1.48,night
Red,Palmas,1401,2018,NA,NA,NA,4.38,night
Yellow,NBI,1135,2018,NA,21.6,21.3,1.34,night
Yellow,NBI,1087,2018,20.1,20.9,20.9,1.48,night
Yellow,NBI,1084,2018,20.6,19.9,20,0.25,night
Yellow,NBI,1144,2018,NA,21.2,19,1.6,night
Yellow,NBI,1147,2018,NA,18.5,18.1,1.33,night
Yellow,NBI,1193,2018,NA,20.5,19.9,1.32,night
Yellow,NBI,1122,2018,NA,18.3,18.2,1.21,night
Yellow,NBI,1107,2018,22.4,23,23,NA,night
Yellow,NBI,1127,2018,22.2,21.3,20.8,1.3,night
Yellow,NBI,1128,2018,NA,NA,NA,NA,night
Yellow,NBI,1151,2018,NA,19.9,20.2,1.19,night
Yellow,NBI,1199,2018,17.5,18.8,17.6,1.49,night
Yellow,NBI,1084,2018,NA,19.2,18.9,NA,night
Yellow,NBI,1091,2018,NA,20.1,18.9,1.49,night
Yellow,CINvaLib,1295,2018,18.3,18.8,18.6,1.77,night
Yellow,CINvaLib,1291,2018,18,18.5,17.8,1.43,night
Yellow,CINvaLib,1282,2018,17.9,18.6,18.6,1.52,night
Yellow,CINvaLib,1268,2018,18.3,18.8,18.7,1.45,night
Yellow,CINvaLib,1253,2018,18.3,18.8,18.5,1.45,night
Yellow,CINvaLib,1201,2018,18.3,18.6,20.5,1.53,night
Yellow,CINvaLib,1182,2018,18.7,19.1,18.8,1.36,night
Yellow,CINvaLib,1155,2018,19.2,19.6,19.2,1.24,night
Yellow,CINvaLib,1130,2018,18.5,19.6,19.8,1.62,night
Yellow,CINvaLib,1125,2018,18.6,18.6,20.6,1.09,night
Yellow,CINvaLib,1086,2018,18.4,19.1,19.2,1.68,night
Green,NvaLib,679,2018,22.9,23,22.5,NA,night
Green,NvaLib,707,2018,22.9,23,23.2,NA,night
Green,NvaLib,725,2018,22.6,22.8,22.7,NA,night
Green,NvaLib,680,2018,24,23.5,23.7,NA,night
Green,NvaLib,690,2018,23.5,24.6,23.6,NA,night
Green,NvaLib,721,2018,23.2,23.3,23.3,NA,night
Green,NvaLib,667,2018,22.4,22.6,22,NA,night
Green,NvaLib,729,2018,24.6,23.9,23.6,NA,night
Green,NvaLib,787,2018,23,23.8,23,NA,night
Green,NvaLib,842,2018,22.5,23.6,22.6,NA,night
Green,NvaLib,826,2018,21.3,23.6,23.5,NA,night
Green,NvaLib,827,2018,NA,23.5,23.2,NA,night
Green,NvaLib,827,2018,23.3,23,23.3,NA,night
Green,NvaLib,828,2018,22.2,23.3,23,NA,night
Green,NvaLib,828,2018,21.8,23.8,23.4,NA,night
Green,NvaLib,828,2018,NA,NA,NA,NA,night
Green,NvaLib,826,2018,NA,21.9,21.3,NA,night
Green,NvaLib,825,2018,20.5,22.7,22.6,NA,night
Green,NvaLib,824,2018,21.3,22,21.8,NA,night
Green,NvaLib,828,2018,21,22.8,22.4,NA,night
Green,NvaLib,835,2018,20.8,22.4,23.1,NA,night
Green,NvaLib,848,2018,22.5,28.8,22.7,NA,night
Green,NvaLib,846,2018,20.3,22.2,22.5,NA,night
Blue,AmpLag,2010,2018,15.8,16.8,16.6,1,night
Blue,AmpLag,2089,2018,14.6,15.9,15.4,0.65,night
Blue,AmpLag,2109,2018,14.3,14.4,14.5,1.6,night
Yellow,LaLoma,1300,2018,17.1,18,18.4,NA,night
Yellow,LaLoma,1299,2018,17.4,17.4,16.6,NA,night
Yellow,LaLoma,1295,2018,17.2,17.2,16.2,NA,night
Red,RLFlor,1397,2018,21.3,21.2,20.9,NA,night
Red,RLFlor,1390,2018,19.1,19.8,19.4,NA,night
Red,RLFlor,1415,2018,19.1,19.8,19.4,NA,night
Red,RLFlor,1416,2018,19.1,19.2,19.1,NA,night
Red,RLFlor,1416,2018,19.1,19.2,19.1,NA,night
Orange,Palestina,700,2018,21.5,21,20.6,1.35,night
Orange,Palestina,701,2018,21.5,21.3,21.2,NA,night
Orange,Palestina,708,2018,20,21.8,20.7,NA,night
Orange,Palestina,722,2018,20.5,20.9,20.9,1.34,night
Orange,Palestina,736,2018,20.6,21.2,20.3,1.5,night
Orange,Palestina,733,2018,21.4,21.5,20.6,1.19,night
Orange,Palestina,746,2018,20.5,20.6,20.6,1.59,night
Orange,Palestina,728,2018,20.6,20.6,20.6,1.17,night
Orange,Palestina,750,2018,20.3,20.2,20.2,0.97,night
Orange,Palestina,751,2018,19.9,20,19.8,1.5,night
Orange,Palestina,752,2018,20.4,20.4,20.3,1.2,night
Orange,Palestina,746,2018,20.8,20.8,20,1.13,night
Orange,SalUrb,854,2018,21.2,22,22.2,1.03,night
Orange,SalUrb,884,2018,20,20.9,21,1.36,night
Orange,SalUrb,883,2018,23,20.8,20.8,1.56,night
Orange,SalUrb,874,2018,20.8,21.7,21.8,1.18,night
Orange,SalUrb,786,2018,22.3,22.7,22.6,1.33,night
Orange,SalUrb,804,2018,21.8,22,22,1.4,night
Orange,SalUrb,810,2018,21.8,22.2,22.2,1.31,night
Orange,SalUrb,815,2018,21.8,22.3,22.3,1.61,night
Orange,SalUrb,812,2018,21.8,22.3,21.8,1.29,night
Orange,SalUrb,790,2018,21.6,21.8,21.9,1.11,night
Orange,SalUrb,891,2018,21.8,22.3,22.3,1.21,night
