"","Domain","Year","Pop","Pop2","Elevation","CTmax","CTmin","TTR"
"137","Orange",2018,"SalUrb","SalUrb18",790,33.2,7.3,25.9
"138","Orange",2018,"SalUrb","SalUrb18",891,30.9,8.2,22.7
"139","Yellow",2018,"NBI","NBI18",1135,37.2,12.4,24.8
"140","Yellow",2018,"NBI","NBI18",1087,34.5,10.9,23.6
"141","Yellow",2018,"NBI","NBI18",1083,32.4,11.2,21.2
"142","Yellow",2018,"NBI","NBI18",1144,34.2,9.8,24.4
"143","Yellow",2018,"NBI","NBI18",1147,33.1,9.2,23.9
"144","Yellow",2018,"NBI","NBI18",1193,34.5,8.1,26.4
"145","Yellow",2018,"NBI","NBI18",1122,33.3,9.8,23.5
"146","Yellow",2018,"NBI","NBI18",1130,33.6,10.9,22.7
"147","Yellow",2018,"NBI","NBI18",1063,33.4,9.6,23.8
"148","Yellow",2018,"NBI","NBI18",1127,33.5,10.2,23.3
"149","Yellow",2018,"NBI","NBI18",1151,33.6,9.2,24.4
"150","Yellow",2018,"NBI","NBI18",1199,33.5,9,24.5
"151","Yellow",2018,"CINvaLib","CINvaLib18",1295,34,11.1,22.9
"152","Yellow",2018,"CINvaLib","CINvaLib18",1291,33,11.2,21.8
"153","Yellow",2018,"CINvaLib","CINvaLib18",1282,33.4,9.9,23.5
"154","Yellow",2018,"CINvaLib","CINvaLib18",1268,33,11.2,21.8
"155","Yellow",2018,"CINvaLib","CINvaLib18",1253,33,12,21
"156","Yellow",2018,"CINvaLib","CINvaLib18",1201,34.6,10.4,24.2
"157","Yellow",2018,"CINvaLib","CINvaLib18",1182,35.2,9.4,25.8
"158","Yellow",2018,"CINvaLib","CINvaLib18",1155,33,9.1,23.9
"159","Yellow",2018,"CINvaLib","CINvaLib18",1130,33.6,8.5,25.1
"160","Yellow",2018,"CINvaLib","CINvaLib18",1125,32.1,9.4,22.7
"161","Yellow",2018,"CINvaLib","CINvaLib18",1086,33.8,12,21.8
"162","Green",2018,"NvaLib","NvaLib18",727,34.2,9.8,24.4
"163","Green",2018,"NvaLib","NvaLib18",842,34.9,9.3,25.6
"164","Green",2018,"NvaLib","NvaLib18",828,32.6,10.3,22.3
"165","Green",2018,"NvaLib","NvaLib18",828,32.7,9.7,23
"166","Green",2018,"NvaLib","NvaLib18",826,32.2,9.6,22.6
"167","Green",2018,"NvaLib","NvaLib18",825,34.1,9.6,24.5
"168","Green",2018,"NvaLib","NvaLib18",846,29.4,9.3,20.1
"169","Green",2018,"NvaLib","NvaLib18",824,32.7,9.5,23.2
"170","Green",2018,"NvaLib","NvaLib18",835,32.6,10.5,22.1
"171","Green",2018,"NvaLib","NvaLib18",828,33.9,9.9,24
"175","Red",2018,"RLFlor","RLFlor18",1397,34.7,10.1,24.6
"176","Red",2018,"RLFlor","RLFlor18",1459,34.2,8.6,25.6
"177","Red",2018,"RLFlor","RLFlor18",1494,34.8,8.5,26.3
"178","Red",2018,"RLFlor","RLFlor18",1390,35.7,8.6,27.1
"179","Red",2018,"RLFlor","RLFlor18",1415,NA,9.8,NA
"180","Red",2018,"RLFlor","RLFlor18",1416,33.1,11.2,21.9
"181","Red",2018,"RLFlor","RLFlor18",1416,32.1,12.3,19.8
"182","Yellow",2018,"LaLoma","LaLoma18",1300,35.9,6.2,29.7
"183","Yellow",2018,"LaLoma","LaLoma18",1299,35.6,7.2,28.4
"184","Yellow",2018,"LaLoma","LaLoma18",1295,34,8.3,25.7
"185","Yellow",2018,"LaLoma","LaLoma18",1310,35.9,10.2,25.7
"186","Yellow",2018,"LaLoma","LaLoma18",1299,35.8,6.8,29
"187","Yellow",2018,"LaLoma","LaLoma18",1298,36.6,7.6,29
