"","Domain","Elevation","Year","Pop","Pop2","Indv","Weight","SVL","n","Temperature"
"96","Red",1516,2017,"RLFlor","RLFlor17","RLaFlor_7",0.71,21.9,"Temp1",23.3
"97","Red",1519,2017,"RLFlor","RLFlor17","RLaFlor_8",1.13,23.8,"Temp1",23.6
"98","Red",1520,2017,"RLFlor","RLFlor17","RLaFlor_9",1.41,25.4,"Temp1",25.8
"99","Red",1520,2017,"RLFlor","RLFlor17","RLaFlor_10",1.71,26.5,"Temp1",23.5
"100","Blue",2083,2017,"AmpLag","AmpLag17","Amp_Lag1",1.23,21,"Temp1",22.9
"101","Blue",2115,2017,"AmpLag","AmpLag17","Amp_Lag2",1.63,17,"Temp1",22.5
"102","Blue",2083,2017,"AmpLag","AmpLag17","Amp_Lag3",0.7,19.1,"Temp1",24.9
"103","Blue",2122,2017,"AmpLag","AmpLag17","Amp_Lag4",1.94,25.6,"Temp1",27.5
"104","Blue",2082,2017,"AmpLag","AmpLag17","Amp_Lag5",0.67,17.6,"Temp1",23.8
"105","Blue",2082,2017,"AmpLag","AmpLag17","Amp_Lag6",0.75,18.7,"Temp1",25.7
"106","Blue",2103,2017,"AmpLag","AmpLag17","Amp_Lag7",1.7,25.3,"Temp1",23.7
"107","Blue",2126,2017,"AmpLag","AmpLag17","Amp_Lag8",1.89,26.5,"Temp1",25.8
"108","Blue",2115,2017,"AmpLag","AmpLag17","Amp_Lag9",1.37,22.9,"Temp1",27.2
"109","Blue",2125,2017,"AmpLag","AmpLag17","Amp_Lag10",0.67,18.9,"Temp1",25.5
"110","Blue",2131,2017,"AmpLag","AmpLag17","Amp_Lag11",0.54,17.4,"Temp1",26.2
"111","Blue",2130,2017,"AmpLag","AmpLag17","Amp_Lag12",1.66,26,"Temp1",28.9
"112","Green",123,2017,"GNBII_II","GNBII17_II","GNBII_1",2.93,32.2,"Temp2",21.3
"113","Green",122,2017,"GNBII_II","GNBII17_II","GNBII_2",0.53,18.2,"Temp2",21
"114","Green",125,2017,"GNBII_II","GNBII17_II","GNBII_3",2.18,27.2,"Temp2",19
"115","Green",125,2017,"GNBII_II","GNBII17_II","GNBII_4",2.19,27.4,"Temp2",22.3
"116","Green",125,2017,"GNBII_II","GNBII17_II","GNBII_5",2.38,29.4,"Temp2",19
"117","Green",125,2017,"GNBII_II","GNBII17_II","GNBII_6",1.33,25.2,"Temp2",20.5
"118","Green",125,2017,"GNBII_II","GNBII17_II","GNBII_7",2.04,27.4,"Temp2",22.5
"119","Green",251,2017,"GNBII","GNBII17","GNB_1",1.55,26.9,"Temp2",20.1
"120","Green",264,2017,"GNBII","GNBII17","GNB_2",1.22,25.4,"Temp2",21
"121","Green",242,2017,"GNBII","GNBII17","GNB_3",1.88,27.7,"Temp2",21.6
"122","Green",250,2017,"GNBII","GNBII17","GNB_4",1.24,23.9,"Temp2",20.2
"123","Green",242,2017,"GNBII","GNBII17","GNB_5",2,28.4,"Temp2",20
"124","Green",263,2017,"GNBII","GNBII17","GNB_6",1.36,24.7,"Temp2",20.2
"125","Green",247,2017,"GNBII","GNBII17","GNB_7",1.43,26.2,"Temp2",20.3
"126","Green",230,2017,"GNBII","GNBII17","GNB_8",2.45,28.2,"Temp2",20.8
"127","Green",247,2017,"GNBII","GNBII17","GNB_9",0.67,19.5,"Temp2",25
"128","Green",247,2017,"GNBII","GNBII17","GNB_10",1.59,26.1,"Temp2",21.2
"129","Green",293,2017,"SatMor","SatMor17","SatMor_1",1.33,24,"Temp2",24.2
"130","Green",310,2017,"SatMor","SatMor17","SatMor_2",0.97,20.9,"Temp2",23.5
"131","Green",316,2017,"SatMor","SatMor17","SatMor_3",0.98,23.1,"Temp2",24.3
"132","Green",314,2017,"SatMor","SatMor17","SatMor_4",1.02,23.3,"Temp2",23
"133","Green",317,2017,"SatMor","SatMor17","SatMor_5",0.89,21.2,"Temp2",23.7
"134","Green",312,2017,"SatMor","SatMor17","SatMor_6",1.28,22.4,"Temp2",21.9
"135","Green",312,2017,"SatMor","SatMor17","SatMor_7",0.86,22.5,"Temp2",19.8
"136","Green",305,2017,"SatMor","SatMor17","SatMor_8",1.17,22.1,"Temp2",21.8
"137","Green",307,2017,"SatMor","SatMor17","SatMor_9",1.29,24.3,"Temp2",22.7
"138","Green",307,2017,"SatMor","SatMor17","SatMor_10",1.22,23,"Temp2",25.8
"139","Green",717,2017,"NvaLib","NvaLib17","NvaLib_1",1.34,25.83,"Temp2",18.1
"140","Green",721,2017,"NvaLib","NvaLib17","NvaLib_2",1.4,23.63,"Temp2",20.3
"141","Green",721,2017,"NvaLib","NvaLib17","NvaLib_3",1.06,24.31,"Temp2",22.6
"142","Green",713,2017,"NvaLib","NvaLib17","NvaLib_4",1.6,27.18,"Temp2",20.4
"143","Green",718,2017,"NvaLib","NvaLib17","NvaLib_5",NA,NA,"Temp2",20.5
"144","Green",713,2017,"NvaLib","NvaLib17","NvaLib_6",1.46,25.38,"Temp2",21.6
"145","Green",688,2017,"NvaLib","NvaLib17","NvaLib_7",1.75,27.03,"Temp2",21.8
"146","Green",727,2017,"NvaLib","NvaLib17","NvaLib_8",1.58,24.54,"Temp2",23.6
"147","Green",727,2017,"NvaLib","NvaLib17","NvaLib_9",1.62,26.6,"Temp2",26.6
"148","Green",747,2017,"NvaLib","NvaLib17","NvaLib_10",1.1,23.99,"Temp2",22.5
"149","Green",721,2017,"NvaLib","NvaLib17","NvaLib_11",1.28,24.74,"Temp2",17.1
"150","Orange",921,2017,"PlanLib","PlanLib17","PlanLib_1",0.91,22.5,"Temp2",19.7
"151","Orange",928,2017,"PlanLib","PlanLib17","PlanLib_2",1,23.6,"Temp2",21.3
"152","Orange",868,2017,"PlanLib","PlanLib17","PlanLib_3",1.15,22.4,"Temp2",23.3
"153","Orange",794,2017,"PlanLib","PlanLib17","PlanLib_4",1.17,24.5,"Temp2",23.2
"154","Orange",922,2017,"PlanLib","PlanLib17","PlanLib_5",1.2,24.9,"Temp2",24.8
"155","Orange",868,2017,"PlanLib","PlanLib17","PlanLib_6",1.29,24.7,"Temp2",19.6
"156","Orange",927,2017,"PlanLib","PlanLib17","PlanLib_7",1.3,24.2,"Temp2",19.9
"157","Orange",922,2017,"PlanLib","PlanLib17","PlanLib_8",1.31,23.1,"Temp2",21.8
"158","Orange",916,2017,"PlanLib","PlanLib17","PlanLib_9",1.39,24.5,"Temp2",22.8
"159","Orange",909,2017,"PlanLib","PlanLib17","PlanLib_10",1.39,24.4,"Temp2",24
"160","Orange",922,2017,"PlanLib","PlanLib17","PlanLib_11",1.67,26.6,"Temp2",19.6
"161","Orange",924,2017,"PlanLib","PlanLib17","PlanLib_12",4.1,34.6,"Temp2",22.1
"162","Orange",1083,2017,"ArrNeg","ArrNeg17","ArrNeg_1",0.82,17.4,"Temp2",22.7
"163","Orange",1093,2017,"ArrNeg","ArrNeg17","ArrNeg_2",3.23,31.5,"Temp2",20.5
"164","Orange",1083,2017,"ArrNeg","ArrNeg17","ArrNeg_3",1.26,23.6,"Temp2",22.8
"165","Orange",1093,2017,"ArrNeg","ArrNeg17","ArrNeg_4",1.42,25.8,"Temp2",21.9
"166","Orange",1009,2017,"ArrNeg","ArrNeg17","ArrNeg_5",1.14,22.6,"Temp2",22.3
"167","Orange",1075,2017,"ArrNeg","ArrNeg17","ArrNeg_6",1.25,22.7,"Temp2",17.1
"168","Orange",1076,2017,"ArrNeg","ArrNeg17","ArrNeg_7",1.17,23.5,"Temp2",21.6
"169","Yellow",1256,2017,"CINLib","CINLib17","CINvLib1",0.45,17.2,"Temp2",NA
"170","Yellow",1262,2017,"CINLib","CINLib17","CINvLib2",1.45,25.2,"Temp2",25
"171","Yellow",1194,2017,"CINLib","CINLib17","CINvLib3",1.5,26.3,"Temp2",24.8
"172","Yellow",1048,2017,"CINLib","CINLib17","CINvLib4",1.56,24.5,"Temp2",25
"173","Yellow",1227,2017,"CINLib","CINLib17","CINvLib5",1.66,24.5,"Temp2",23.1
"174","Yellow",1030,2017,"CINLib","CINLib17","CINvLib6",1.71,26.1,"Temp2",22.9
"175","Yellow",1150,2017,"CINLib","CINLib17","CINvLib7",2.17,27.5,"Temp2",23.3
"176","Yellow",1151,2017,"CINLib","CINLib17","CINvLib8",3.17,33.7,"Temp2",23.5
"177","Yellow",1227,2017,"CINLib","CINLib17","CINvLib9",3.72,35.3,"Temp2",23.4
"178","Yellow",1150,2017,"CINLib","CINLib17","CINvLib10",3.79,34.3,"Temp2",24.8
"179","Yellow",1150,2017,"CINLib","CINLib17","CINvLib11",4.1,37.8,"Temp2",24.4
"180","Yellow",1168,2017,"CINLib","CINLib17","CINvLib12",4.34,39.2,"Temp2",24.7
"181","Yellow",1162,2017,"NBI","NBI17","NBravo_1",1.16,23.5,"Temp2",19.5
"182","Yellow",1142,2017,"NBI","NBI17","NBravo_2",1.86,25.6,"Temp2",20.9
"183","Yellow",1181,2017,"NBI","NBI17","NBravo_3",0.97,21.5,"Temp2",18.2
"184","Yellow",1184,2017,"NBI","NBI17","NBravo_4",0.82,20.8,"Temp2",18.6
"185","Yellow",1186,2017,"NBI","NBI17","NBravo_5",0.26,14.4,"Temp2",20
"186","Yellow",1169,2017,"NBI","NBI17","NBravo_6",0.18,11.9,"Temp2",18.6
"187","Yellow",1181,2017,"NBI","NBI17","NBravo_7",0.82,21.7,"Temp2",19.5
"188","Yellow",1162,2017,"NBI","NBI17","NBravo_8",0.36,16.6,"Temp2",20.4
"189","Yellow",1136,2017,"NBI","NBI17","NBravo_9",0.3,13.4,"Temp2",21.3
"190","Yellow",1116,2017,"NBI","NBI17","NBravo_10",0.33,15.4,"Temp2",19.9
"191","Yellow",1300,2017,"LaLoma","LaLoma17","LaLom_1",1.53,26.28,"Temp2",23.1
"192","Yellow",1304,2017,"LaLoma","LaLoma17","LaLom_2",1.35,24.34,"Temp2",22.8
"193","Yellow",1304,2017,"LaLoma","LaLoma17","LaLom_3",1.24,23.4,"Temp2",22.7
"194","Yellow",1304,2017,"LaLoma","LaLoma17","LaLom_4",1.25,23.78,"Temp2",23.8
"195","Yellow",1300,2017,"LaLoma","LaLoma17","LaLom_5",1.39,25.48,"Temp2",23.7
"196","Yellow",1309,2017,"LaLoma","LaLoma17","LaLom_6",1.54,27.16,"Temp2",22.4
"197","Yellow",1300,2017,"LaLoma","LaLoma17","LaLom_7",1.35,25.37,"Temp2",24
"198","Yellow",1310,2017,"LaLoma","LaLoma17","LaLom_8",1.63,27,"Temp2",23.3
"199","Yellow",1305,2017,"LaLoma","LaLoma17","LaLom_9",1.6,26.94,"Temp2",21.6
"200","Yellow",1296,2017,"LaLoma","LaLoma17","LaLom_10",1.52,25.37,"Temp2",22.8
"201","Red",1509,2017,"RLFlor","RLFlor17","RLaFlor_1",0.42,16.9,"Temp2",23.1
"202","Red",1508,2017,"RLFlor","RLFlor17","RLaFlor_2",0.43,17,"Temp2",22.2
"203","Red",1509,2017,"RLFlor","RLFlor17","RLaFlor_3",0.46,17,"Temp2",19.9
"204","Red",1508,2017,"RLFlor","RLFlor17","RLaFlor_4",0.53,17.4,"Temp2",23.6
"205","Red",1508,2017,"RLFlor","RLFlor17","RLaFlor_5",0.62,19.5,"Temp2",23.2
"206","Red",1512,2017,"RLFlor","RLFlor17","RLaFlor_6",0.66,19.7,"Temp2",26.7
"207","Red",1516,2017,"RLFlor","RLFlor17","RLaFlor_7",0.71,21.9,"Temp2",24.1
"208","Red",1519,2017,"RLFlor","RLFlor17","RLaFlor_8",1.13,23.8,"Temp2",22
"209","Red",1520,2017,"RLFlor","RLFlor17","RLaFlor_9",1.41,25.4,"Temp2",25.5
"210","Red",1520,2017,"RLFlor","RLFlor17","RLaFlor_10",1.71,26.5,"Temp2",24.7
"211","Blue",2083,2017,"AmpLag","AmpLag17","Amp_Lag1",1.23,21,"Temp2",24.8
"212","Blue",2115,2017,"AmpLag","AmpLag17","Amp_Lag2",1.63,17,"Temp2",26.6
"213","Blue",2083,2017,"AmpLag","AmpLag17","Amp_Lag3",0.7,19.1,"Temp2",24.8
"214","Blue",2122,2017,"AmpLag","AmpLag17","Amp_Lag4",1.94,25.6,"Temp2",26.8
"215","Blue",2082,2017,"AmpLag","AmpLag17","Amp_Lag5",0.67,17.6,"Temp2",26.3
"216","Blue",2082,2017,"AmpLag","AmpLag17","Amp_Lag6",0.75,18.7,"Temp2",25.8
"217","Blue",2103,2017,"AmpLag","AmpLag17","Amp_Lag7",1.7,25.3,"Temp2",25.3
"218","Blue",2126,2017,"AmpLag","AmpLag17","Amp_Lag8",1.89,26.5,"Temp2",25.3
"219","Blue",2115,2017,"AmpLag","AmpLag17","Amp_Lag9",1.37,22.9,"Temp2",24.7
"220","Blue",2125,2017,"AmpLag","AmpLag17","Amp_Lag10",0.67,18.9,"Temp2",25.6
"221","Blue",2131,2017,"AmpLag","AmpLag17","Amp_Lag11",0.54,17.4,"Temp2",18.2
"222","Blue",2130,2017,"AmpLag","AmpLag17","Amp_Lag12",1.66,26,"Temp2",18.2
"223","Green",123,2017,"GNBII_II","GNBII17_II","GNBII_1",2.93,32.2,"Temp3",21.1
"224","Green",122,2017,"GNBII_II","GNBII17_II","GNBII_2",0.53,18.2,"Temp3",22.5
"225","Green",125,2017,"GNBII_II","GNBII17_II","GNBII_3",2.18,27.2,"Temp3",22.3
"226","Green",125,2017,"GNBII_II","GNBII17_II","GNBII_4",2.19,27.4,"Temp3",18.2
"227","Green",125,2017,"GNBII_II","GNBII17_II","GNBII_5",2.38,29.4,"Temp3",17
"228","Green",125,2017,"GNBII_II","GNBII17_II","GNBII_6",1.33,25.2,"Temp3",18
"229","Green",125,2017,"GNBII_II","GNBII17_II","GNBII_7",2.04,27.4,"Temp3",21.5
"230","Green",251,2017,"GNBII","GNBII17","GNB_1",1.55,26.9,"Temp3",22.9
"231","Green",264,2017,"GNBII","GNBII17","GNB_2",1.22,25.4,"Temp3",20.5
"232","Green",242,2017,"GNBII","GNBII17","GNB_3",1.88,27.7,"Temp3",19.9
"233","Green",250,2017,"GNBII","GNBII17","GNB_4",1.24,23.9,"Temp3",22.1
"234","Green",242,2017,"GNBII","GNBII17","GNB_5",2,28.4,"Temp3",20.3
"235","Green",263,2017,"GNBII","GNBII17","GNB_6",1.36,24.7,"Temp3",20.5
"236","Green",247,2017,"GNBII","GNBII17","GNB_7",1.43,26.2,"Temp3",20.8
"237","Green",230,2017,"GNBII","GNBII17","GNB_8",2.45,28.2,"Temp3",21.4
"238","Green",247,2017,"GNBII","GNBII17","GNB_9",0.67,19.5,"Temp3",22.1
"239","Green",247,2017,"GNBII","GNBII17","GNB_10",1.59,26.1,"Temp3",21.3
"240","Green",293,2017,"SatMor","SatMor17","SatMor_1",1.33,24,"Temp3",21.9
"241","Green",310,2017,"SatMor","SatMor17","SatMor_2",0.97,20.9,"Temp3",22.9
"242","Green",316,2017,"SatMor","SatMor17","SatMor_3",0.98,23.1,"Temp3",21.9
"243","Green",314,2017,"SatMor","SatMor17","SatMor_4",1.02,23.3,"Temp3",20.9
"244","Green",317,2017,"SatMor","SatMor17","SatMor_5",0.89,21.2,"Temp3",23
"245","Green",312,2017,"SatMor","SatMor17","SatMor_6",1.28,22.4,"Temp3",21.8
"246","Green",312,2017,"SatMor","SatMor17","SatMor_7",0.86,22.5,"Temp3",22.4
"247","Green",305,2017,"SatMor","SatMor17","SatMor_8",1.17,22.1,"Temp3",23.8
"248","Green",307,2017,"SatMor","SatMor17","SatMor_9",1.29,24.3,"Temp3",20.8
"249","Green",307,2017,"SatMor","SatMor17","SatMor_10",1.22,23,"Temp3",24
"250","Green",717,2017,"NvaLib","NvaLib17","NvaLib_1",1.34,25.83,"Temp3",18.6
"251","Green",721,2017,"NvaLib","NvaLib17","NvaLib_2",1.4,23.63,"Temp3",20.6
"252","Green",721,2017,"NvaLib","NvaLib17","NvaLib_3",1.06,24.31,"Temp3",18.2
"253","Green",713,2017,"NvaLib","NvaLib17","NvaLib_4",1.6,27.18,"Temp3",22.1
"254","Green",718,2017,"NvaLib","NvaLib17","NvaLib_5",NA,NA,"Temp3",22.5
"255","Green",713,2017,"NvaLib","NvaLib17","NvaLib_6",1.46,25.38,"Temp3",21
"256","Green",688,2017,"NvaLib","NvaLib17","NvaLib_7",1.75,27.03,"Temp3",22.5
"257","Green",727,2017,"NvaLib","NvaLib17","NvaLib_8",1.58,24.54,"Temp3",21.3
"258","Green",727,2017,"NvaLib","NvaLib17","NvaLib_9",1.62,26.6,"Temp3",22.7
"259","Green",747,2017,"NvaLib","NvaLib17","NvaLib_10",1.1,23.99,"Temp3",20.9
"260","Green",721,2017,"NvaLib","NvaLib17","NvaLib_11",1.28,24.74,"Temp3",24.1
"261","Orange",921,2017,"PlanLib","PlanLib17","PlanLib_1",0.91,22.5,"Temp3",19.8
"262","Orange",928,2017,"PlanLib","PlanLib17","PlanLib_2",1,23.6,"Temp3",21.4
"263","Orange",868,2017,"PlanLib","PlanLib17","PlanLib_3",1.15,22.4,"Temp3",25
"264","Orange",794,2017,"PlanLib","PlanLib17","PlanLib_4",1.17,24.5,"Temp3",21.5
"265","Orange",922,2017,"PlanLib","PlanLib17","PlanLib_5",1.2,24.9,"Temp3",20
"266","Orange",868,2017,"PlanLib","PlanLib17","PlanLib_6",1.29,24.7,"Temp3",22.6
"267","Orange",927,2017,"PlanLib","PlanLib17","PlanLib_7",1.3,24.2,"Temp3",21.5
"268","Orange",922,2017,"PlanLib","PlanLib17","PlanLib_8",1.31,23.1,"Temp3",22.5
"269","Orange",916,2017,"PlanLib","PlanLib17","PlanLib_9",1.39,24.5,"Temp3",19.5
